$ filter_size [3,4,5]
Epoch 1, loss 167.79, acc 0.12 0.2771, time 117.81
(server)Epoch 1, loss 201.84, acc 0.09 0.2455, time 69.65


$ filter_size=3

Epoch 1, loss 42.75, acc 0.12 0.2698, time 41.55
(server)Epoch 1, loss 6.21, acc 0.23 0.3471, time 23.27
Epoch 2, loss 4.79, acc 0.29 0.4925, time 24.85
Epoch 3, loss 4.08, acc 0.36 0.5532, time 24.67
Epoch 4, loss 3.09, acc 0.47 0.5962, time 24.74
Epoch 5, loss 2.78, acc 0.52 0.6169, time 24.78
Epoch 6, loss 2.51, acc 0.53 0.6459, time 24.70
Epoch 7, loss 2.37, acc 0.58 0.6607, time 24.77
Epoch 8, loss 2.09, acc 0.62 0.6702, time 24.68
Epoch 9, loss 2.08, acc 0.56 0.6746, time 24.84
Epoch 10, loss 2.21, acc 0.63 0.6816, time 24.85
Epoch 11, loss 2.05, acc 0.59 0.6849, time 24.71
Epoch 12, loss 2.02, acc 0.59 0.6875, time 24.72
Epoch 13, loss 1.79, acc 0.67 0.7041, time 24.68
Epoch 14, loss 1.59, acc 0.73 0.7004, time 24.70
Epoch 15, loss 1.87, acc 0.66 0.7092, time 23.70
Epoch 16, loss 1.93, acc 0.65 0.7092, time 24.83
Epoch 17, loss 1.58, acc 0.76 0.7122, time 23.72
Epoch 18, loss 1.66, acc 0.75 0.7221, time 24.76
Epoch 19, loss 1.79, acc 0.68 0.7151, time 24.75
Epoch 20, loss 1.46, acc 0.74 0.7203, time 23.76
Epoch 21, loss 1.53, acc 0.78 0.7306, time 23.66
Epoch 22, loss 1.60, acc 0.76 0.7284, time 24.76
Epoch 23, loss 1.73, acc 0.66 0.7368, time 23.66
Epoch 24, loss 1.41, acc 0.77 0.7379, time 24.70
Epoch 25, loss 1.47, acc 0.77 0.7372, time 24.62
Epoch 26, loss 1.42, acc 0.75 0.7391, time 23.74
Epoch 27, loss 1.52, acc 0.71 0.7416, time 24.73
Epoch 28, loss 1.62, acc 0.73 0.7446, time 24.70
Epoch 29, loss 1.35, acc 0.79 0.7508, time 24.86
Epoch 30, loss 1.52, acc 0.76 0.7530, time 24.71
Epoch 31, loss 0.98, acc 0.85 0.7497, time 24.73
Epoch 32, loss 1.23, acc 0.81 0.7512, time 23.67
Epoch 33, loss 1.28, acc 0.80 0.7545, time 23.72
Epoch 34, loss 1.17, acc 0.78 0.7512, time 24.75
Epoch 35, loss 1.36, acc 0.79 0.7538, time 23.65
Epoch 36, loss 1.06, acc 0.85 0.7563, time 23.70
Epoch 37, loss 1.23, acc 0.79 0.7586, time 24.74
Epoch 38, loss 1.17, acc 0.82 0.7571, time 24.70
Epoch 39, loss 0.99, acc 0.87 0.7563, time 23.65
Epoch 40, loss 1.00, acc 0.85 0.7589, time 23.67
Epoch 41, loss 1.19, acc 0.80 0.7575, time 24.77
Epoch 42, loss 0.91, acc 0.87 0.7633, time 23.68
Epoch 43, loss 0.86, acc 0.89 0.7644, time 24.83
Epoch 44, loss 1.05, acc 0.84 0.7615, time 24.82
Epoch 45, loss 0.96, acc 0.85 0.7630, time 23.65
Epoch 46, loss 0.99, acc 0.86 0.7674, time 23.66
Epoch 47, loss 0.98, acc 0.88 0.7648, time 24.75
Epoch 48, loss 1.06, acc 0.84 0.7652, time 23.72
Epoch 49, loss 1.03, acc 0.83 0.7619, time 23.67
Epoch 50, loss 0.75, acc 0.92 0.7648, time 23.67
Epoch 51, loss 0.95, acc 0.88 0.7663, time 23.70
Epoch 52, loss 0.79, acc 0.93 0.7633, time 23.71
Epoch 53, loss 0.99, acc 0.84 0.7630, time 23.73
Epoch 54, loss 0.78, acc 0.93 0.7685, time 23.67
Epoch 55, loss 0.62, acc 0.96 0.7633, time 24.79
Epoch 56, loss 0.75, acc 0.92 0.7622, time 23.66
Epoch 57, loss 0.67, acc 0.93 0.7678, time 23.69

(server)$ with loss_adv

Epoch 1, loss 16.69, acc 0.18 0.2801, time 24.44
Epoch 2, loss 15.14, acc 0.22 0.3986, time 26.11
Epoch 3, loss 10.40, acc 0.28 0.4958, time 25.99
Epoch 4, loss 8.42, acc 0.43 0.5834, time 26.00
Epoch 5, loss 6.99, acc 0.51 0.6275, time 25.99
Epoch 6, loss 6.32, acc 0.52 0.6430, time 26.20
Epoch 7, loss 6.52, acc 0.46 0.6500, time 26.08
Epoch 8, loss 5.24, acc 0.54 0.6684, time 26.00
Epoch 9, loss 5.26, acc 0.57 0.6555, time 25.98
Epoch 10, loss 5.47, acc 0.52 0.6636, time 24.92
Epoch 11, loss 5.61, acc 0.55 0.6728, time 24.94
Epoch 12, loss 4.89, acc 0.63 0.6596, time 26.05
Epoch 13, loss 5.05, acc 0.57 0.6743, time 24.93
Epoch 14, loss 4.85, acc 0.61 0.6897, time 26.11
Epoch 15, loss 5.02, acc 0.60 0.6849, time 25.92
Epoch 16, loss 4.80, acc 0.65 0.6964, time 24.88
Epoch 17, loss 5.22, acc 0.56 0.6861, time 25.94
Epoch 18, loss 5.42, acc 0.62 0.6805, time 24.86
Epoch 19, loss 5.31, acc 0.61 0.7026, time 24.93
Epoch 20, loss 4.81, acc 0.71 0.7011, time 26.05
Epoch 21, loss 4.76, acc 0.72 0.7092, time 24.90
Epoch 22, loss 5.32, acc 0.67 0.7048, time 26.01
Epoch 23, loss 5.11, acc 0.67 0.7162, time 24.89
Epoch 24, loss 5.58, acc 0.61 0.6772, time 25.97
Epoch 25, loss 7.11, acc 0.65 0.6573, time 24.91
Epoch 26, loss 7.16, acc 0.57 0.6588, time 24.91
Epoch 27, loss 7.67, acc 0.62 0.6651, time 25.01
Epoch 28, loss 9.88, acc 0.49 0.6872, time 24.92
Epoch 29, loss 14.59, acc 0.57 0.6559, time 24.98
Epoch 30, loss 13.36, acc 0.59 0.6702, time 24.92
Epoch 31, loss 19.32, acc 0.49 0.6768, time 24.94
Epoch 32, loss 18.03, acc 0.48 0.6135, time 24.93
Epoch 33, loss 25.35, acc 0.54 0.6912, time 24.91
Epoch 34, loss 23.18, acc 0.55 0.7026, time 25.00
Epoch 35, loss 22.89, acc 0.56 0.6235, time 24.95
Epoch 36, loss 25.04, acc 0.58 0.6364, time 24.96
Epoch 37, loss 30.54, acc 0.66 0.6791, time 24.97
Epoch 38, loss 28.27, acc 0.57 0.6743, time 24.91
Epoch 39, loss 34.27, acc 0.50 0.6908, time 24.96
Epoch 40, loss 48.12, acc 0.57 0.6868, time 24.90
Epoch 41, loss 43.15, acc 0.54 0.6743, time 24.93
Epoch 42, loss 44.65, acc 0.52 0.6596, time 24.91
Epoch 43, loss 44.76, acc 0.55 0.6632, time 24.92
Epoch 44, loss 48.59, acc 0.58 0.6912, time 24.91
Epoch 45, loss 51.41, acc 0.55 0.6673, time 24.90
Epoch 46, loss 68.77, acc 0.43 0.6165, time 24.93
Epoch 47, loss 47.79, acc 0.54 0.6625, time 24.92
Epoch 48, loss 57.18, acc 0.65 0.6636, time 24.94
Epoch 49, loss 69.72, acc 0.57 0.6345, time 24.92
Epoch 50, loss 66.40, acc 0.56 0.6632, time 24.94
Done training, best_step: 1840, best_acc: 0.7162

(server) $ with 0.05*loss_adv + 0.01*loss_diff

Epoch 1, loss 2643157.25, acc 0.11 0.2252, time 24.67
Epoch 2, loss 346955.41, acc 0.22 0.3220, time 26.41
Epoch 3, loss 104658.60, acc 0.25 0.4273, time 26.23
Epoch 4, loss 28053.07, acc 0.41 0.5086, time 26.21
Epoch 5, loss 19541.62, acc 0.33 0.5429, time 26.23
Epoch 6, loss 6715.06, acc 0.38 0.5436, time 26.37
Epoch 7, loss 4822.68, acc 0.36 0.5609, time 26.20
Epoch 8, loss 5309.30, acc 0.43 0.5620, time 26.28
Epoch 9, loss 4462.09, acc 0.41 0.5609, time 26.34
Epoch 10, loss 4017.40, acc 0.51 0.5782, time 25.18
Epoch 11, loss 7298.36, acc 0.44 0.5988, time 26.29
Epoch 12, loss 833.61, acc 0.50 0.5981, time 26.26
Epoch 13, loss 1456.43, acc 0.46 0.5675, time 25.28
Epoch 14, loss 1252.75, acc 0.48 0.5996, time 25.14
Epoch 15, loss 1900.47, acc 0.56 0.5878, time 26.28
Epoch 16, loss 1026.38, acc 0.51 0.5944, time 25.14
Epoch 17, loss 1620.88, acc 0.42 0.5870, time 25.22
Epoch 18, loss 707.02, acc 0.51 0.6073, time 25.21
Epoch 19, loss 627.59, acc 0.51 0.5870, time 26.30
Epoch 20, loss 425.24, acc 0.50 0.5778, time 25.15
Epoch 21, loss 781.44, acc 0.47 0.5933, time 25.13
Epoch 22, loss 617.14, acc 0.46 0.5988, time 25.18
Epoch 23, loss 282.75, acc 0.48 0.5926, time 25.16
Epoch 24, loss 264.92, acc 0.43 0.5937, time 25.14
Epoch 25, loss 227.40, acc 0.44 0.5951, time 25.18
Epoch 26, loss 2471.21, acc 0.46 0.5852, time 25.18
Epoch 27, loss 341.03, acc 0.55 0.5686, time 25.17
Epoch 28, loss 266.44, acc 0.54 0.5966, time 25.18
Epoch 29, loss 697.71, acc 0.46 0.5859, time 25.16
Epoch 30, loss 334.23, acc 0.56 0.5815, time 25.18
Epoch 31, loss 472.44, acc 0.50 0.5837, time 25.18
Epoch 32, loss 151.76, acc 0.48 0.5974, time 25.18
Epoch 33, loss 118.14, acc 0.47 0.5819, time 25.20
Epoch 34, loss 110.81, acc 0.49 0.5999, time 25.21
Epoch 35, loss 177.40, acc 0.53 0.6014, time 25.15
Epoch 36, loss 227.30, acc 0.49 0.6036, time 25.16
Epoch 37, loss 75.56, acc 0.51 0.5948, time 25.28
Epoch 38, loss 143.03, acc 0.48 0.5999, time 25.18
Epoch 39, loss 107.74, acc 0.47 0.5970, time 25.20
Epoch 40, loss 51.50, acc 0.53 0.5929, time 25.12
Epoch 41, loss 91.82, acc 0.46 0.6154, time 25.18
Epoch 42, loss 100.11, acc 0.58 0.6036, time 26.23
Epoch 43, loss 52.30, acc 0.46 0.5852, time 25.18
Epoch 44, loss 37.08, acc 0.58 0.5801, time 25.18
Epoch 45, loss 60.19, acc 0.45 0.5782, time 25.19
Epoch 46, loss 33.57, acc 0.47 0.6025, time 25.19
Epoch 47, loss 124.97, acc 0.52 0.6003, time 25.21
Epoch 48, loss 37.51, acc 0.47 0.5959, time 25.24
Epoch 49, loss 62.18, acc 0.50 0.5926, time 25.22
Epoch 50, loss 28.51, acc 0.43 0.5819, time 25.14
Done training, best_step: 3280, best_acc: 0.6154

(server) $ with loss_adv + loss_diff

Epoch 1, loss 281981248.00, acc 0.09 0.2580, time 24.72
Epoch 2, loss 29509858.00, acc 0.24 0.3640, time 26.40
Epoch 3, loss 3832807.00, acc 0.36 0.4608, time 26.21
Epoch 4, loss 2027390.12, acc 0.36 0.5219, time 26.26
Epoch 5, loss 1077828.50, acc 0.52 0.5565, time 26.22
Epoch 6, loss 1612035.25, acc 0.46 0.5620, time 26.40
Epoch 7, loss 1119774.25, acc 0.40 0.5874, time 26.27
Epoch 8, loss 702168.19, acc 0.54 0.5778, time 26.25
Epoch 9, loss 372501.84, acc 0.47 0.5926, time 25.13
Epoch 10, loss 553193.44, acc 0.54 0.5613, time 26.28
Epoch 11, loss 426091.38, acc 0.55 0.5859, time 25.20
Epoch 12, loss 234939.95, acc 0.58 0.6069, time 25.17
Epoch 13, loss 312363.34, acc 0.49 0.5911, time 26.19
Epoch 14, loss 249712.58, acc 0.52 0.5915, time 25.20
Epoch 15, loss 239839.50, acc 0.46 0.5974, time 25.18
Epoch 16, loss 138484.52, acc 0.45 0.5929, time 25.18
Epoch 17, loss 187124.06, acc 0.48 0.5745, time 25.14
Epoch 18, loss 64865.49, acc 0.53 0.5826, time 25.12
Epoch 19, loss 47109.36, acc 0.43 0.5926, time 25.18
Epoch 20, loss 126091.43, acc 0.51 0.5808, time 25.19
Epoch 21, loss 25254.36, acc 0.51 0.5819, time 25.25
Epoch 22, loss 33553.66, acc 0.54 0.5812, time 25.16
Epoch 23, loss 44460.55, acc 0.52 0.5642, time 25.17
Epoch 24, loss 147860.47, acc 0.44 0.5974, time 25.17
Epoch 25, loss 25275.12, acc 0.48 0.5793, time 25.12
Epoch 26, loss 28740.80, acc 0.42 0.5881, time 25.17
Epoch 27, loss 22103.73, acc 0.56 0.5837, time 25.17
Epoch 28, loss 19225.72, acc 0.49 0.5955, time 25.17
Epoch 29, loss 22813.95, acc 0.48 0.5889, time 25.25
Epoch 30, loss 26529.18, acc 0.39 0.5878, time 25.20
Epoch 31, loss 20267.19, acc 0.43 0.5944, time 25.09
Epoch 32, loss 16561.60, acc 0.51 0.5933, time 25.15
Epoch 33, loss 7918.17, acc 0.54 0.6007, time 25.23
Epoch 34, loss 10775.64, acc 0.47 0.5830, time 25.10
Epoch 35, loss 26960.02, acc 0.47 0.5959, time 25.15
Epoch 36, loss 11944.91, acc 0.56 0.5742, time 25.17
Epoch 37, loss 25176.27, acc 0.52 0.5970, time 25.07
Epoch 38, loss 8676.96, acc 0.56 0.5926, time 25.19
Epoch 39, loss 15428.22, acc 0.51 0.5992, time 25.11
Epoch 40, loss 4901.10, acc 0.42 0.5664, time 25.17
Epoch 41, loss 8682.16, acc 0.48 0.5933, time 25.13
Epoch 42, loss 6960.78, acc 0.57 0.5841, time 25.17
Epoch 43, loss 6312.84, acc 0.52 0.5992, time 25.18
Epoch 44, loss 6502.51, acc 0.44 0.5985, time 25.10
Epoch 45, loss 12181.99, acc 0.53 0.5948, time 25.11
Epoch 46, loss 4908.95, acc 0.43 0.6021, time 25.14
Epoch 47, loss 6554.04, acc 0.50 0.5959, time 25.15
Epoch 48, loss 5569.77, acc 0.51 0.5962, time 25.11
Epoch 49, loss 9045.50, acc 0.45 0.5970, time 25.15
Epoch 50, loss 5116.22, acc 0.53 0.5933, time 25.15
Done training, best_step: 960, best_acc: 0.6069




# 10 class, 300d, 


$ with loss_adv loss_diff

Epoch 1, loss 635921.88, acc 0.17 0.2878, time 99.60
Epoch 2, loss 43976.66, acc 0.18 0.4303, time 186.09
Epoch 3, loss 22946.91, acc 0.42 0.4991, time 108.12
Epoch 4, loss 10142.83, acc 0.36 0.5668, time 120.13
Epoch 5, loss 12630.34, acc 0.51 0.5959, time 131.09
Epoch 6, loss 7515.99, acc 0.59 0.6102, time 108.96
Epoch 7, loss 4576.11, acc 0.50 0.6279, time 175.45
Epoch 8, loss 3438.06, acc 0.60 0.6408, time 312.34
Epoch 9, loss 5787.67, acc 0.55 0.6393, time 150.69
Epoch 10, loss 2176.62, acc 0.62 0.6548, time 144.08
Epoch 11, loss 1633.92, acc 0.62 0.6515, time 110.41
Epoch 12, loss 1226.33, acc 0.66 0.6562, time 111.93
Epoch 13, loss 2214.19, acc 0.75 0.6643, time 139.96
Epoch 14, loss 1033.58, acc 0.68 0.6618, time 170.30
Epoch 15, loss 1266.46, acc 0.71 0.6695, time 121.62
Epoch 16, loss 1120.49, acc 0.71 0.6728, time 108.00
Epoch 17, loss 387.09, acc 0.70 0.6676, time 147.21
Epoch 18, loss 446.74, acc 0.65 0.6688, time 145.23
Epoch 19, loss 522.35, acc 0.69 0.6665, time 143.63

$ no loss_adv, no loss_diff

Epoch 1, loss 3.60, acc 0.24 0.3975, time 89.70
Epoch 2, loss 2.97, acc 0.39 0.5536, time 122.45
Epoch 3, loss 2.29, acc 0.52 0.5966, time 116.51
Epoch 4, loss 1.99, acc 0.60 0.6555, time 98.63
Epoch 5, loss 1.84, acc 0.68 0.6765, time 97.88
Epoch 6, loss 1.76, acc 0.70 0.6978, time 128.40
Epoch 7, loss 1.88, acc 0.67 0.7129, time 96.75
Epoch 8, loss 1.56, acc 0.68 0.7192, time 165.12
Epoch 9, loss 1.61, acc 0.67 0.7287, time 96.18
Epoch 10, loss 1.48, acc 0.73 0.7383, time 115.77
